implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in repl-x cusparse CUD,CSR,Rucci1.mtx,1977885,109900,7791168,2,9.857390000e-05,1.096215276e-06,158.077706168,0.000000000e+00,8.912896037e-05,4.006771966e+00,1.057257841e-01,8.349752000e-03,1,2.610918273e-07
MPI root-in repl-x cusparse CUD,CSR,FullChip.mtx,2987012,2987012,26621990,2,2.399150300e-04,8.211238571e-07,221.928488599,0.000000000e+00,2.301030391e-04,1.296492061e+01,2.431309258e-01,2.136651700e-02,1,1.251503418e-04
MPI root-in repl-x cusparse CUD,CSR,rajat31.mtx,4690002,4690002,20316253,2,2.269153000e-04,8.540510463e-07,179.064637775,0.000000000e+00,2.169856024e-04,1.016341496e+01,1.509236241e-01,1.747001000e-02,1,1.254320145e-03
MPI root-in cyclic-x cusparse C,CSR,ldoor.mtx,952203,952203,46522475,3,1.624828930e-03,1.374144049e-04,57.264459219,1.407146620e-03,2.089267190e-04,1.178248639e+01,4.209985111e+00,2.962774800e-02,0,1.039617180e+01
MPI root-in cyclic-x cusparse C,CSR,webbase-1M.mtx,1000005,1000005,3105536,3,1.770818800e-04,1.586296263e-05,35.074576800,1.290442600e-04,4.078591891e-05,1.350275199e+00,1.807484658e-01,5.162256000e-03,1,7.289041539e-07
MPI root-in cyclic-x cusparse C,CSR,bone010.mtx,986703,986703,71666325,3,1.997725760e-03,3.083638360e-04,71.747910985,1.700896570e-03,2.898636815e-04,1.523757083e+01,6.621449293e+00,3.676124400e-02,0,6.276957065e-03
MPI root-in cyclic-x cusparse C,CSR,boyd2.mtx,466316,466316,1500397,3,2.767219200e-04,2.524395123e-05,10.844077694,2.389730700e-04,2.119679973e-05,3.185912740e-01,9.578558237e-02,4.066125000e-03,1,4.365163746e+02
MPI root-in cyclic-x cusparse C,CSR,ASIC_680ks.mtx,682712,682712,2329176,3,5.493989300e-04,7.100703817e-05,8.478997220,4.931081400e-04,3.513344064e-05,1.146596610e+00,1.547453657e-01,6.347722000e-03,1,5.070871004e-02
MPI root-in cyclic-x cusparse C,CSR,eu-2005.mtx,862664,862664,19235140,3,1.212804700e-03,1.940938668e-04,31.720094752,1.086442830e-03,1.027379175e-04,4.517736454e+00,1.638234218e+00,1.499541900e-02,1,7.450580597e-06
MPI root-in cyclic-x cusparse C,CSR,Si41Ge41H72.mtx,185639,185639,15011265,3,4.326115300e-04,2.059289318e-05,69.398358384,3.312277700e-04,8.183807790e-05,4.084437123e+00,1.291813011e+00,7.786467000e-03,1,6.850613335e-06
MPI root-in cyclic-x cusparse C,CSR,Rucci1.mtx,1977885,109900,7791168,3,2.595228800e-04,2.721386759e-05,60.042243674,1.669459500e-04,7.203840204e-05,4.033433175e+00,7.668623248e-01,7.710923000e-03,1,2.610918273e-07
MPI root-in cyclic-x cusparse C,CSR,FullChip.mtx,2987012,2987012,26621990,3,4.812394110e-03,6.575464286e-04,11.063927597,4.615252180e-03,1.731174394e-04,1.301068329e+01,2.472592539e+00,2.212582100e-02,1,4.810702203e-04
MPI root-in cyclic-x cusparse C,CSR,rajat31.mtx,4690002,4690002,20316253,3,1.037366280e-02,7.157011628e-04,3.916890956,1.016095631e-02,1.492992018e-04,1.020904055e+01,2.401226382e+00,2.517892100e-02,1,2.777576447e-04
MPI root-in block-x cusparse CU,CSR,ldoor.mtx,952203,952203,46522475,3,6.422264500e-04,3.312644906e-05,144.878726188,4.257538200e-04,2.079232010e-04,1.178209615e+01,1.694178013e+00,2.205236600e-02,0,8.720193364e+00
MPI root-in block-x cusparse CU,CSR,webbase-1M.mtx,1000005,1000005,3105536,3,9.581329000e-05,4.228674372e-06,64.824744041,3.916331000e-05,4.371455990e-05,1.345667143e+00,1.299504634e-01,5.987589000e-03,1,6.654379181e-07
MPI root-in block-x cusparse CU,CSR,bone010.mtx,986703,986703,71666325,3,3.319428600e-04,4.979796106e-06,431.799165676,2.801212000e-05,2.883379111e-04,1.520624299e+01,1.024901393e+00,3.186728400e-02,1,7.329940956e-03
MPI root-in block-x cusparse CU,CSR,boyd2.mtx,466316,466316,1500397,3,5.452123900e-04,5.706602919e-05,5.503899132,4.964444600e-04,3.084287943e-05,3.190250890e-01,2.440186138e-01,9.904172000e-03,1,6.239784110e+02
MPI root-in block-x cusparse CU,CSR,ASIC_680ks.mtx,682712,682712,2329176,3,8.045350000e-05,3.870097618e-06,57.901172727,2.934531000e-05,3.415040039e-05,1.146501079e+00,3.545187373e-02,5.190499000e-03,1,3.744061245e-02
